province,age,sex,education,Vote,Vote_Liberal,Vote_Conservative,Voting_Interest,Vote_Prob,age_range
Quebec,30,A woman,Master's degree,Green Party,1,0,9,Certain to vote,30-39
Quebec,21,A woman,Master's degree,Don't know/ Prefer not to answer,0,0,6,Certain to vote,18-29
Ontario,19,A woman,Some university,Liberal Party,1,0,8,Certain to vote,18-29
Ontario,21,A man,Some university,Conservative Party,0,1,8,Certain to vote,18-29
Ontario,19,A woman,Completed secondary/ high school,Don't know/ Prefer not to answer,0,0,6,Certain to vote,18-29
Ontario,20,A woman,Some university,Liberal Party,1,0,9,Certain to vote,18-29
Ontario,21,A woman,Some university,Liberal Party,1,0,10,Certain to vote,18-29
Ontario,21,A woman,Some university,Don't know/ Prefer not to answer,0,0,9,Certain to vote,18-29
Ontario,19,A man,Completed secondary/ high school,Liberal Party,1,0,3,Likely to vote,18-29
Ontario,19,A woman,Completed secondary/ high school,ndp,0,0,6,Likely to vote,18-29
Ontario,21,A woman,Some university,Conservative Party,0,1,10,Certain to vote,18-29
Ontario,20,A man,Completed secondary/ high school,Liberal Party,1,0,7,Likely to vote,18-29
Ontario,19,A woman,Some university,Liberal Party,1,0,10,Certain to vote,18-29
Ontario,21,A man,Some university,Liberal Party,1,0,4,Certain to vote,18-29
Ontario,19,A woman,Completed secondary/ high school,Liberal Party,1,0,5,Likely to vote,18-29
Ontario,19,A woman,Completed secondary/ high school,Liberal Party,1,0,8,Certain to vote,18-29
Ontario,19,A woman,Completed secondary/ high school,Green Party,1,0,8,Certain to vote,18-29
Ontario,19,A woman,Some university,Green Party,0,0,10,Certain to vote,18-29
Ontario,21,A woman,Some university,NA,NA,NA,6,Unlikely to vote,18-29
Ontario,19,A woman,Completed secondary/ high school,ndp,1,0,8,Certain to vote,18-29
Ontario,19,A man,Completed secondary/ high school,Conservative Party,0,1,8,Certain to vote,18-29
Ontario,24,A man,Some university,Liberal Party,1,0,9,Certain to vote,18-29
Ontario,20,A woman,Some university,Liberal Party,1,0,7,Certain to vote,18-29
Ontario,19,A woman,Completed secondary/ high school,Don't know/ Prefer not to answer,0,0,10,Certain to vote,18-29
Ontario,19,A woman,Completed secondary/ high school,Liberal Party,1,0,10,Certain to vote,18-29
Ontario,20,A man,Completed secondary/ high school,Liberal Party,1,0,7,Certain to vote,18-29
Ontario,19,A woman,Completed secondary/ high school,Don't know/ Prefer not to answer,0,0,10,Certain to vote,18-29
Ontario,19,A man,Some university,Liberal Party,1,0,9,Likely to vote,18-29
Ontario,19,A woman,Some secondary/ high school,Liberal Party,1,0,NA,Certain to vote,18-29
Ontario,20,A man,Completed secondary/ high school,Conservative Party,0,1,10,Certain to vote,18-29
