province,sex,age_range,education,n
Alberta,Female,18-29,Graduate+,1
Alberta,Female,18-29,Highschool,68
Alberta,Female,18-29,"NA",1
Alberta,Female,18-29,No Highschool,6
Alberta,Female,18-29,Undergraduate,17
Alberta,Female,30-39,Graduate+,24
Alberta,Female,30-39,Highschool,107
Alberta,Female,30-39,"NA",4
Alberta,Female,30-39,No Highschool,8
Alberta,Female,30-39,Undergraduate,51
Alberta,Female,40-49,Graduate+,16
Alberta,Female,40-49,Highschool,83
Alberta,Female,40-49,"NA",5
Alberta,Female,40-49,No Highschool,2
Alberta,Female,40-49,Undergraduate,41
Alberta,Female,50-59,Graduate+,8
Alberta,Female,50-59,Highschool,107
Alberta,Female,50-59,"NA",3
Alberta,Female,50-59,No Highschool,8
Alberta,Female,50-59,Undergraduate,25
Alberta,Female,60-69,Graduate+,13
Alberta,Female,60-69,Highschool,109
Alberta,Female,60-69,"NA",3
Alberta,Female,60-69,No Highschool,11
Alberta,Female,60-69,Undergraduate,26
Alberta,Female,70-79,Graduate+,7
Alberta,Female,70-79,Highschool,62
Alberta,Female,70-79,"NA",5
Alberta,Female,70-79,No Highschool,20
Alberta,Female,70-79,Undergraduate,16
Alberta,Female,80-89,Highschool,26
Alberta,Female,80-89,"NA",1
Alberta,Female,80-89,No Highschool,15
Alberta,Female,80-89,Undergraduate,5
Alberta,Male,18-29,Graduate+,2
Alberta,Male,18-29,Highschool,63
Alberta,Male,18-29,"NA",2
Alberta,Male,18-29,No Highschool,7
Alberta,Male,18-29,Undergraduate,17
Alberta,Male,30-39,Graduate+,18
Alberta,Male,30-39,Highschool,96
Alberta,Male,30-39,"NA",3
Alberta,Male,30-39,No Highschool,5
Alberta,Male,30-39,Undergraduate,32
Alberta,Male,40-49,Graduate+,20
Alberta,Male,40-49,Highschool,72
Alberta,Male,40-49,No Highschool,7
Alberta,Male,40-49,Undergraduate,30
Alberta,Male,50-59,Graduate+,10
Alberta,Male,50-59,Highschool,108
Alberta,Male,50-59,"NA",1
Alberta,Male,50-59,No Highschool,14
